5179569388,1310506945,-草丛温柔鬼,也是我最喜欢的一首纯音乐,1,15分钟前
5179510697,513315463,万物皆柔,加油 加油 加油 加油 每一个加油都送给你,0,40分钟前
5179580887,1726181731,你是啥瓜,即使内心挣扎过无数次，第二天一觉醒来还是得继续接受现实,1,09:17
5179515533,3906399810,奶茶_啊,吴君花我愛你,0,09:17
5179578885,592596153,对不起啊_G,后我喝再多也不会给你打电话了，因为当初我能爱的上你，现在我就能抗的过去，你走后，我，一个人，活在当下，我他妈享受人生，我现在只想有钱，很多好多钱，因为这就是生活(Such is life)，爱情里没有什么对不起我们不合适我和你不般配你会找到更好的，不爱了就是不爱了，没有呢么多借口，最他妈扎心的,0,09:03
5179492571,592596153,对不起啊_G,没有回复内种心里空荡荡，就内种可怕的朦朦胧胧的内种意识，就是我做梦都能梦见你好像回了我信息然后我突然醒来看手机发现，什么都没有，就连梦境都不愿意放过我了你知道么，我记得内次同学生日我突然想你然后一直拿啤酒灌我自己灌到醉，然后我给你打电话，我给你发语音，你放心，我不会了，以后我喝再,0,08:56
5179506384,592596153,对不起啊_G,你说这世上哪来的呢么多两情相悦？哪儿来？根本就没有，那时候我们太小，根本不知道什么是喜欢，当初的分手是你提的，我也清楚到底是谁更想离开，没关系，我说了没关系，你知道内种思念是啥感觉么？你就不知道吧？就是，曾经我给你发一句晚安，你可能有事没回我完事我一晚上醒八次我看手机没有回复内种,0,08:56
5179509482,592596153,对不起啊_G,我其实有的时候真的特别想你，我想过很多，但你想过没有，我再一次返回来追你，对你是一种烦恼，对我也是一种煎熬，我就想不明白你明明不爱我为什么总是在我想要忘记的事候出现在我梦里，你让我戒烟我说过我戒不了，因为在我需要你的时候你不会在的，只有它陪我，你说要我少喝酒，我还是喝的不停，你说,0,08:55
5179555863,1322521473,不过长安,马上五年,0,08:19
5179536973,1293079467,Seasee-You,这是我最喜欢的一首歌 没有之一 因为我觉得这旋律中带着希望,2,08:11
5179548938,529253450,撇撇撇哈,哈哈哈哈,0,08:03
5179561787,1564988578,沙漠里的大仙人掌,梦到了一个不该记起来的人，早上起来泪流满面，尽管很不愿意承认，我对那个梦竟然还有一丝可耻的眷恋。。。,0,07:56
5179465614,1980389922,虚空客_rYsm,谁不是呢？,0,07:45
5179496399,3265048283,DJINJINJIND,老子真的好难受,1,07:40
5179466598,427474872,_木_有枝,为什么听到这个旋律想哭呢。,1,07:38
5179483304,1684023361,小渣渣一个与大佬无缘,加油！,0,06:27
5179478305,1474884895,鹨猫,没有,0,06:05
5179453568,1726920901,秘术-纸雏鸾,全是网抑云吗？是我Deemo不配还是怎么着？音游人真的没有未来吗（,1,05:14
5179458430,111799564,空调橙太狼,看到你们那么多故事真的好羡慕啊，从初入学校到社会打工，没交到一个朋友，没遇见我喜欢的人，也没有遇到在乎我的人，主动联系我的除了不怎么在乎我的父母和中国移动，找不到自己的兴趣爱好，这是枯燥度过一天有一天罢了，回顾这20年如同机器一般的生活，想不出有趣任何故事，这样的生活有意义吗。,0,04:30
5179465251,577995387,往事如烟FHG,你还好吗,0,03:48
