1201945425,415702432,hmmasiwei,你委屈什么，爱而不得的人又不止你一个,11.3万,2018年8月2日
1261201722,300889077,粉红味猪蹄_,公开 专一 不聊骚 这是爱一个人的基本 明白什么是基本吗这是你应该的 不是你付出的,73354,2018年10月2日
1202429097,402151402,不比从前快乐,所有人都以为咱俩很好，只有我清楚知道咱俩的距离。,58462,2018年8月3日
1178275527,412000096,爱吃燒賣-,到底欠了你什么 做梦都让我难过.,45722,2018年7月13日
1260569252,600001700,不想秃头啊啊啊,"原来成年人的感情是不追问 是不解释是心照不宣 是突然走散是自然消减 是一种冰冷的默契",41129,2018年10月1日
1260905745,272101721,长安归故里故里有长安ly,我后来才知道，真正放下一个人是什么感觉。不是空空荡荡却嗡嗡作响，也不是心里缺了很大一块，而是我继续地进行着我的生活，吃饭上班打游戏，你仍旧在我心里，再想起你时，却没什么太大波澜了，就是一个认识很久的人，也用力爱过。大概不打扰，才是最后的温柔啊。毕竟有些感情除了说再见别无选择。 👌,38249,2018年10月2日
1069987435,466455156,道一声晚安_,人，一旦有了感情，就窝囊的不行。你说敬往事一杯酒，再爱也不回头。其实就算你醉到黄昏独自愁，那人伸手，你还是会跟他走。,32062,2018年3月31日
1105881178,443798627,冲冲冲冲冲冲__,现在听这首歌是如此的不甘,24273,2018年5月3日
1176498102,339921171,停停停婷ovo,爱情里最棒的心态就是：我的一切付出都是一场心甘情愿，我对此绝口不提。你若投桃报李，我会十分感激。你若无动于衷，我也不灰心丧气。直到有一天我不愿再这般爱你，那就让我们一别两宽，各生欢喜。,18868,2018年7月11日
1051556486,511213919,零意im,一别两宽，各自欢喜,17577,2018年3月12日
1261000394,494842965,度余温-,其实在感情中付出更多的那个，不一定就是失败的一方。你对一个人好，即使没有回报，至少也永远都不会白费。很多年后突然想起来，泪流满面的那个人， 肯定不是你。,13980,2018年10月2日
1260916492,529221732,MrLiu_xh,我讨厌酒的味道，却喜欢醉的感觉,12389,2018年10月2日
1276432968,466439437,一切好像走了,你什么都可以错，别再错过我,10218,2018年10月19日
1282002373,1644564186,用户1644564186,这种直白的词，深情的曲，莫名的有种少年感。唤起了中学时代听歌时的感受,8488,2018年10月25日
1261054287,605716590,咕噜咕噜噜噜liu,我下定决心忘记你了那种从期待到失望的感觉你大概永远都不会懂从不舍到放下我真的花了很长时间麻烦你 别回头,6744,2018年10月2日
