133711144,35290055,防弹雾霾,“今晚月色很美。”“适合叉猹！”,19.1万,2016年3月25日
33633827,57616407,有耳之,夏目漱石问他的学生如何翻译“I love you”，学生翻译成“我爱你”。夏目漱石说：“日本人怎么可能讲这样的话？‘今夜月色很好’就足够了。”,10.5万,2015年8月29日
46705488,739256,雰川水也,越温柔的人，越难驯服。,80792,2015年11月14日
141493864,123261045,户田吃梨子,看过红楼的人把 I love you 翻译为: “这个妹妹我曾见过的” 就足够了,69954,2016年4月14日
130910149,52521938,叶文康出生于惠州,卧槽！！刚刚在看评论的时候看到了你的评论，心里还想：哎哟，居然会有写歌的男票，那不是就和我一样。。。 结果，居然没发现就是你哈哈哈~~我爱你，老婆！,56465,2016年3月17日
53323772,81616341,falcon_qt,月亮，月，日语发音"Tsuki"；爱（喜欢），好き，日语发音“Suki”..所以“今晚月色真好（今晩はお月さん）”，既是一句甜蜜温柔的情话，也是一段欲言又止的告白.....如果遇见，请勿错过~,49674,2015年12月13日
40181167,51522364,饱_饱,高中时曾 跟一个妹子出去散步，在湖边见到一对初中生情侣在接吻。妹子突然仰起头睁大眼睛，好像在找什么东西，找了一会，嘴里很大声地说：今晚的月亮好大好圆啊~哈哈哈，我赶紧封住她的嘴巴，今晚是初一哪来的月亮？,36775,2015年10月11日
136873956,86046633,Cicita,后续:"你们那时候写情书会在后面加I love you 吗？ 我们才不会写什么 I love you呢 我们一般在后面写 愿逐月华流照君 ",35489,2016年4月2日
715645234,129882842,hetaojhn,当别人对你说“今晚月色真美”时，如果你不喜欢对方，就回复：“但是在遥不可及的地方。”（可以说是很婉拒了）如果你喜欢对方，可以回复：“我也是”如果对方只是随便说一句：今晚月色很美。就回复“适合叉猹！”哈哈哈哈哈,31573,2018年2月23日
15962371,34955601,朋克少女林黛玉,今晚月色好美。（我后来才知道，夏目漱石将我爱你翻译成这个，突然觉得好美）,18445,2015年4月22日
37259619,9494206,Prins,你们说，夏目漱石说的是“我爱你”。我听，她唱的是“我不能再爱你了”。,17669,2015年9月22日
166554099,115989290,夕者沉渊,此生最爱的两句情话，今夜月色很美 余生请多指教。,16212,2016年6月9日
72123773,45776342,萤火夏日的悠桑,林深时见鹿，海蓝时见鲸，梦醒时见你。,16086,2016年2月19日
1253059286,298755429,碟中谍中碟中谍呀,"今晚月色真美"（I love you）"风也温柔"（me too）,13438,2018年9月23日
43047567,52918644,Trop-ennuyeux,今天距离考研就剩60天了。晚上十一点多从学校自习室回寝室，路上一个人都没有除了我和一个并肩作战的男生。他抬起头说：今晚上月亮🌙好亮啊，你看，都有影子呢！是啊~突然想起高三时晚上我和暗恋的男生一起在操场上散步，我说今晚月亮好美啊，他笑我的样子~,11970,2015年10月27日
