1515371059,1311114534,猫猫猫猫喵猫猫猫猫,GKWDNMD=高考我都能蒙对🍌,17.5万,2019年6月8日
1549006620,327886257,热心网友小罗c,茄子女儿出生的时候接生护士跟小茄子说：你的头怎么还不出来？小茄子回：我爹说了 露头就得死,82749,2019年7月8日
1530153172,286877463,_漫无止境的八月,强烈建议加入CSGO音乐盒,73343,2019年6月20日
1516723197,47473576,自怜水中影,csgo游戏的武器地图玩法多种多样。步枪最著名的是P90，狙击步枪最著名的是P90，重型武器最著名的是P90，微冲最著名的是P90。30种地图分别是dust2，....dust2与dust2。光是在dust2地图就有十多种玩法，分别是rushb......rushb与rushb,49521,2019年6月9日
1576846399,416909537,Ca旦旦,这是首俄罗斯情歌，去俄罗斯遇到喜欢的小姐姐就唱给她吧❤️,44134,2019年7月31日
1510435807,1390848444,VodkaForever,🍆对小🍆说：以后遇到坏人要打110，知道了吗？来你说一遍☎️号码，小🍆：1……1……姚志鹏，又是他,25776,2019年6月3日
1551006656,439331652,昨日噫兮梦噫兮丶,茄子：怎么样了怎么样了。 医生：这孩子头不出来啊。 小茄子：我爸说了，谁露头谁死！,16221,2019年7月10日
1510227397,61368486,可达鸭Sama,ABCDEF___________（填空题）,13657,2019年6月3日
1528176114,528597397,沉名-,然而毛子48杀还是带不动啊 dnmd不列特,10172,2019年6月19日
1517964975,112184404,_badwomen,dnmd真的人才,9148,2019年6月10日
1598488451,125615100,爱睡不打呼-,说他不讲卫生吧，他用窗帘擦嘴说他讲卫生吧，他用窗帘擦嘴,8619,2019年8月17日
1578754468,64505154,无敌喜欢,你就把人往死里坑,7346,2019年8月1日
