33132501,83549859,晨露规则,没有评论？？小清新经典歌曲！！比好声音早多了！！,12万,2015年8月26日
45225630,49218720,欲将心事散清风丶,为什么评论那么少，那是因为以前的支持这首歌来源不在支持了，这也是网易走向正版音乐的必经之路,53098,2015年11月6日
72863524,128133349,Mr十年一梦,I wonder how， I wonder why我不知所措，我不明所以。这句翻译的真是信达雅。,38515,2016年2月21日
45186214,68444188,時光尚早,还我原版！那么多评论,33044,2015年11月6日
129069127,60851910,supermanYYY,我弯的好～我弯的歪～,28709,2016年3月13日
46242449,68158264,内斯塔啦啦,不是评论的人少了，而是因为音乐下架了。,25045,2015年11月11日
70424796,1254089,baryon,原来在英语里有句谚语：if life give you lemons， make lemonade. 这里lemon是不如意的意思。那么一树lemon该是多么的悲伤啊,24776,2016年2月14日
127991014,67769322,不哭泣的秋天,记得以前的第一评论是这样的:歌词挺心酸的，却唱的这么轻快，就像并不在乎一样，感觉真好，生活就该这样”,18828,2016年3月10日
45386229,58320808,Sehunyeol_,原版下架了,12969,2015年11月7日
184248548,5798142,行走中的木偶,有没有和我一样英语从来没及格过，却偏偏钟爱英文歌，尽管只能偶尔听懂某个歌词,12733,2016年7月17日
45814874,95566944,-冬青木-,有什么不同吗 和原版比,10632,2015年11月9日
126425292,60752026,万尼亚的爷爷,这歌写的大概是发现女朋友出轨了，头顶绿的像树，心里酸的像柠檬，之后自己郁闷地开车乱逛，决定找个新欢，但是还是很不爽(个人见解，不要当真,7501,2016年3月5日
46209205,79194402,SuperMan-LEE,从小听到大的一首歌，这里面不仅保留着童年的回忆，同时也代表着我热爱此类风格的音乐~,7054,2015年11月11日
1390280900,354169479,congrieve,我 是 一 只 柠 檬 精 祝 日 推 来 的 柠 檬 们 柠 檬 日 开 心 ❤,5585,2019年2月14日
1072188136,1321022507,OOOOXOXOX,很逆天的歌，欢快的曲风，伤感的词。真是辣椒配冰淇淋混搭。,3758,2018年4月2日
