9123600,28370169,尼斯湖触手怪,happy tree friends是一部非常有爱的治愈系动画,14.9万,2015年1月20日
9257052,7471876,文科,happy tree friends蛮治愈的，推荐大家看一下。,88163,2015年1月22日
19845349,45616408,七绪An,一部讲述森林里各种萌系小伙伴相亲相爱互帮互助的温情动画，五星推荐，看完整个世界都棒棒哒!,76232,2015年5月28日
20106829,39572955,popppp,动画片里展现的那种儿时才有的温情和感动到现在还在我的脑海中盘旋。短短的几分钟将生命的意义诠释地淋漓尽致。每部短片中那份对生的渴求，对爱的渴望都让我为之动容。5星力荐,61779,2015年5月30日
11108790,40797064,帐号已注销,逼逼读了个逼逼逗！！,49290,2015年2月20日
10804821,9571204,无处遁形网友刘,以前截过当手机铃，舍友都想打死我,37312,2015年2月15日
25898911,67642194,maruite,这首歌及其作品，清新优雅，又不乏有儿童之趣。同时森林里的一些可爱的小动物们快乐的生活着。开开心心，教孩子们许许多多的友谊与合作。非常治愈清新可爱的一部动画片，堪比小时代。,32236,2015年7月11日
26074034,1846925,aren-ma,網易裡最真誠的人集中都到這來了,30269,2015年7月12日
19887526,52474907,焦糖酱酱,我老师当手机铃声用了三年…,22454,2015年5月28日
29243668,53302401,Stitch唐,happy tree friends这部动画是一部可爱及教育的动画，适合天朝的所有孩子们，自从我的孩子看完这部动画后，so easy！妈妈再也不用担心我的学习！我的岳父岳母看了以后腰好腿好精神好，心脏也不跳了,21660,2015年8月2日
71809349,64389404,空谷回荡,强烈建议上架少儿频道,17529,2016年2月18日
12574907,35865135,茅庐斧王,快活林里好兄弟！,17359,2015年3月14日
72036255,100257079,北方死宅提尔比茨,看happy tree friends长大的孩子心理素质比同期孩子要好,16181,2016年2月19日
26836554,54648277,勇敢的橘子01364,里面有个蓝色的小鹿，特别乐于助人，帮助其他小动物，别的小动物都特别喜欢他还有个穿军装的小松鼠，很勇敢，有正义感，保护别的小动物不受伤害,12830,2015年7月17日
131073504,70483544,RavenRin,这是一部非常负责严谨的儿童教育动画，作为一个成人的我都被动画的主旨深深感动着,9728,2016年3月18日
